direct_parent_id,direct_parent_lbl,n_inchikeys,n_sources
CHEMONTID:0001115,Gamma-keto acids and derivatives,9,3
CHEMONTID:0001145,N-acylethanolamines,9,2
CHEMONTID:0001149,Imidazolidinones,9,4
CHEMONTID:0001204,Organic phosphoramides,9,4
CHEMONTID:0001220,Benzyl cyanides,9,1
CHEMONTID:0001316,"1,3-dioxolanes",9,6
CHEMONTID:0001359,Alpha hydroxy acids and derivatives,9,6
CHEMONTID:0001553,Triterpenoids,9,3
CHEMONTID:0001597,1-monoacylglycerols,9,3
CHEMONTID:0001715,Hydroquinolines,9,1
CHEMONTID:0001917,Aminobenzamides,9,1
CHEMONTID:0002253,Nicotinamides,9,5
CHEMONTID:0002515,Salicylamides,9,1
CHEMONTID:0002634,"2,4-disubstituted thiazoles",9,2
CHEMONTID:0002761,3-sulfobenzoic acids,9,3
CHEMONTID:0002950,Very long-chain fatty acids,9,3
CHEMONTID:0003214,2-phenylindoles,9,3
CHEMONTID:0003338,Polyethylene glycols,9,4
CHEMONTID:0003886,Imidolactams,9,3
CHEMONTID:0003922,Acetamides,9,1
CHEMONTID:0003969,Dinitrotoluenes,9,7
CHEMONTID:0004189,Coumarans,9,4
CHEMONTID:0004209,m-Xylenes,9,5
CHEMONTID:0004319,Tyrosine and derivatives,9,1
CHEMONTID:0004321,Phenylalanine and derivatives,9,1
CHEMONTID:0004445,Organoheterosilanes,9,9
CHEMONTID:0004485,Cyclohexyl halides,9,3
CHEMONTID:0004640,Phenyl methylcarbamates,9,3
CHEMONTID:0004698,N-silyl compounds,9,3
CHEMONTID:0004778,Organic O-nitroso compounds,9,2
CHEMONTID:0004809,Alpha-chloroketones,9,2
CHEMONTID:0000019,Dibenzocycloheptenes,8,1
CHEMONTID:0000029,Cinnamaldehydes,8,5
CHEMONTID:0000055,Dibenzothiazepines,8,2
CHEMONTID:0000093,Thiadiazoles,8,4
CHEMONTID:0000095,Thiazoles,8,5
CHEMONTID:0000111,Tetrazoles,8,3
CHEMONTID:0000139,Tyrosols and derivatives,8,2
CHEMONTID:0000211,Indoles and derivatives,8,2
CHEMONTID:0000246,Hypoxanthines,8,2
CHEMONTID:0000273,Miscellaneous chromates,8,6
