substance,substance_name,priority_score,list_score,bio_score,n_lists,top_list_cat,echa_lists,bio_activity_labels
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d5766c3bedd5810786723336d99ddcb9,"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d5ae98a9710469a0135a7e24268a6337,"dodecyl 3,4,5-trihydroxybenzoate",3,3,0,2,Harmonised / CLP,eu_positive_list|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d73b35a27f0cead06556af89cfc4f036,Trichloro(methyl)silane,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d740235da6997457e453ba08581b0d26,"3,6-dichloro-o-anisic acid, compound with 2-aminoethanol (1:1)",3,2,1,1,Harmonised / CLP,harmonised_list,herbicide|agrochemical
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d7811966458203d5dc812a78a9a3c329,Saflufenacil,3,2,1,1,Pesticides,pesticides,agrochemical|herbicide|EC 1.3.3.4 (protoporphyrinogen oxidase) inhibitor
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d81f4a5aa4f82b139ff75759a0b60a1a,Nickel dinitrate,3,3,0,3,Harmonised / CLP,dossier_evaluation|reach_registrations|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d845a80d5d972c5fb22b83ff74ee1d97,1-(2-methyl-4-(2-methylphenylazo)phenylazo)-2-naphthol,3,0,3,1,Other,reach_registrations,carcinogenic agent|histological dye|fluorochrome
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d969391841c7d2a7e0c5a75abfaa481c,(E)-3-methyl-5-cyclopentadecen-1-one,3,3,0,3,Harmonised / CLP,reach_registrations|dossier_evaluation|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d997a233bc32c36a0c78da36d427f63d,Tamoxifen,3,3,0,2,PBT,pbt_assessment|reach_registrations,estrogen antagonist|EC 2.7.11.13 (protein kinase C) inhibitor|angiogenesis inhibitor|antineoplastic agent|estrogen receptor modulator|bone density conservation agent|EC 1.2.3.1 (aldehyde oxidase) inhibitor|estrogen receptor antagonist
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d9a0024741aa88f2e2f994e7d07fad39,"But-2-yne-1,4-diol",3,3,0,3,Harmonised / CLP,dossier_evaluation|reach_registrations|harmonised_list,
