substance_name,best_match,score_1
"Iso(C10-C14)alkyl (3,5-di-tert-butyl-4-hydroxyphenyl)methylthioacetate","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9134565377847035
"organopolysiloxanes with 2,6-toluidene diisocyanate groups","2,5-disubstituted thiophenes",0.913127049541085
"1,5-bis(3,4-dimethoxyphenyl)-penta-1,4-dien-3-one","1,2-diaryl-2-propen-1-ols",0.9129654865051732
Cresylic acid,Acrylic acids,0.9129447907434739
"N-(3-aminopropyl)-N-N-(C16-18 evennumbered, 18 unsaturated)-alkylpropane-1,3-diamine","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9127191215969542
isothiazolinone,Diazepines,0.9124491466403662
"organopolysiloxanes with 2,4-toluidene diisocyanate groups","2,5-disubstituted thiophenes",0.9123536856127356
Metal oxide sulfide,Alkali metal sulfides,0.9123154251552322
Boron silicate,Alkali metal silicates,0.9121363985953603
"Diethyl 4-oxopentane-1,2-dicarboxylate","5-Benzylpyrimidine-2,4-diamines",0.9120428459685657
Germanium arsenide selenide,Lanthanide arsenites,0.9119528527923637
"Reaction mass of estra-1,3,5(10)-triene-3,17β-diol 3-[bis(2-chloroethyl)carbamate] 17-(dihydrogen phosphate) and pyridinium chloride and water","1,2-diacyl-sn-glycerol-3(2'-aminoethyl)phosphonates",0.9117502425585471
"2-(mesitylimino)-9,10-dimethoxy-2,3,6,7-tetrahydro-4H-heteropolycycl-4-one","Imidazo[5,1-d]-1,2,3,5-tetrazines",0.9117282740134776
"(6S)-6-methyl-5,6-Dihydro-4H-thieno[2,3-b]thiopyran4-one-7,7-dioxide","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9116845321316294
Germanium Tellurium Arsenide Selenide,Lanthanide arsenites,0.9116350211713428
"1,2-Cyclohexanedicarboxylic Acid, 1-(phenylmethyl) ester, ester with 2,2,4-trimethyl, 1,3-petanediol mono(2-methyl propanoate)","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9115407045023867
"2,2,6,6-tetrakis(tetradecanoyloxymethyl)-4-oxa-heptane-1,7-diyl ditetradecanoate","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9112202245040069
Magnesium sodium lithium silicate,Alkaline earth metal silicates,0.9111612223025587
"salts of 3,3'-dimethoxybenzidine; salts of o-dianisidine","3,3'-dihalogenated benzidines",0.9111145778618629
potassium 3-iodo-6-methylbenzenesulfonate,p-Methylbenzenesulfonates,0.9111097580552988
"N,N,N-trimethyl-3-[(2-methylacryloyl)amino]propan-1-aminium 4-(C10-13-sec-alkyl)benzenesulfonate","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9110086542607986
Petroleum oils,Aromatic hydrocarbons,0.9109652673743371
"(6Z)-6-(hydroxyimino)-5,6-dihydroimidazo[4,5,1-jk][1]benzazepine-2,7(1H,4H)-dione","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9108840154872457
"5-[(Benzyloxy)methyl]-4-bromo-1-methyl-1H-1,2,3-triazole hydrogen bromide salt","2-amino-5-substituted-1,3,4-thiadiazoles",0.9108304780303063
"Phosphoramidic acid 1,4-piperazinediylbistetrakis(2,6-dimethylphenyl)ester","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9107540961186349
Nickel carbide,Alkali metal nitrides,0.9106741042547345
"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C4–10-alkyl)thio]methyl] derivatives, phosphates, ammonium salts","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.910586352313414
